device_id,ts,seq,boot_id,received_at,ingest_via,sig,prev_hash,rec_hash,vbat_mv,ibat_ma,bat_mw,soc_pct,vbus_mv,ibus_ma,vac2_mv,vsys_mv,vindpm_mv,vreg_mv,chg_stat,fault0,fault1,harvest_mah,solar,usb,weather_good,eco_chg,light_ch0,light_ch1,acc_x_mg,acc_y_mg,acc_z_mg,press_mbar,temp_c,extra,p_gas_hpa,dp_hpa,uss_tof_us,uss_dtof_us,uss_vol_ml,uss_snr_db,uss_seq,uss_code,uss_recov,sensor_ok
4,2026-09-21 07:03:28+00:00,,,2026-09-21 13:37:37.849453+00:00,mqtt,,,,4189,0,,98,5110,34,,,,,7,,,0,False,True,,,6,,-236,-196,-940,,24.18,,975.4,10.4,132.5561,-0.001372,307148,32.0,780,122,0,63
4,2026-09-21 07:08:28+00:00,,,2026-09-21 13:37:37.849453+00:00,mqtt,,,,4189,0,,98,5110,34,,,,,7,,,0,False,True,,,6,,-236,-196,-940,,24.18,,975.4,10.4,132.5561,-0.001372,307148,32.0,780,122,0,63
4,2026-09-21 07:13:28+00:00,,,2026-09-21 13:37:37.849453+00:00,mqtt,,,,4189,0,,98,5110,34,,,,,7,,,0,False,True,,,6,,-236,-196,-940,,24.18,,975.4,10.4,132.5561,-0.001372,307148,32.0,780,122,0,63
4,2026-09-21 07:18:28+00:00,,,2026-09-21 13:37:37.849453+00:00,mqtt,,,,4189,0,,98,5110,34,,,,,7,,,0,False,True,,,6,,-236,-196,-940,,24.18,,975.4,10.4,132.5561,-0.001372,307148,32.0,780,122,0,63
4,2026-09-21 07:23:28+00:00,,,2026-09-21 13:37:37.849453+00:00,mqtt,,,,4189,0,,98,5110,34,,,,,7,,,0,False,True,,,6,,-236,-196,-940,,24.18,,975.4,10.4,132.5561,-0.001372,307148,32.0,780,122,0,63
4,2026-09-21 07:28:28+00:00,,,2026-09-21 13:37:37.849453+00:00,mqtt,,,,4189,0,,98,5110,34,,,,,7,,,0,False,True,,,6,,-236,-196,-940,,24.18,,975.4,10.4,132.5561,-0.001372,307148,32.0,780,122,0,63
4,2026-09-21 07:33:28+00:00,,,2026-09-21 13:37:37.849453+00:00,mqtt,,,,4189,0,,98,5110,34,,,,,7,,,0,False,True,,,6,,-236,-196,-940,,24.18,,975.4,10.4,132.5561,-0.001372,307148,32.0,780,122,0,63
4,2026-09-21 07:38:28+00:00,,,2026-09-21 13:37:36.968422+00:00,mqtt,,,,4189,0,,98,5110,34,,,,,7,,,0,False,True,,,6,,-236,-196,-940,,24.18,,975.4,10.4,132.5561,-0.001372,307148,32.0,780,122,0,63
4,2026-09-21 07:43:28+00:00,,,2026-09-21 13:37:36.968422+00:00,mqtt,,,,4189,0,,98,5110,34,,,,,7,,,0,False,True,,,6,,-236,-196,-940,,24.18,,975.4,10.4,132.5561,-0.001372,307148,32.0,780,122,0,63
4,2026-09-21 07:48:28+00:00,,,2026-09-21 13:37:36.968422+00:00,mqtt,,,,4189,0,,98,5110,34,,,,,7,,,0,False,True,,,6,,-236,-196,-940,,24.18,,975.4,10.4,132.5561,-0.001372,307148,32.0,780,122,0,63
4,2026-09-21 07:53:28+00:00,,,2026-09-21 13:37:36.968422+00:00,mqtt,,,,4189,0,,98,5110,34,,,,,7,,,0,False,True,,,6,,-236,-196,-940,,24.18,,975.4,10.4,132.5561,-0.001372,307148,32.0,780,122,0,63
4,2026-09-21 07:58:28+00:00,,,2026-09-21 13:37:36.968422+00:00,mqtt,,,,4189,0,,98,5110,34,,,,,7,,,0,False,True,,,6,,-236,-196,-940,,24.18,,975.4,10.4,132.5561,-0.001372,307148,32.0,780,122,0,63
4,2026-09-21 08:03:28+00:00,,,2026-09-21 13:37:36.968422+00:00,mqtt,,,,4189,0,,98,5110,34,,,,,7,,,0,False,True,,,6,,-236,-196,-940,,24.18,,975.4,10.4,132.5561,-0.001372,307148,32.0,780,122,0,63
4,2026-09-21 08:08:28+00:00,,,2026-09-21 13:37:36.968422+00:00,mqtt,,,,4189,0,,98,5110,34,,,,,7,,,0,False,True,,,6,,-236,-196,-940,,24.18,,975.4,10.4,132.5561,-0.001372,307148,32.0,780,122,0,63
4,2026-09-21 08:13:28+00:00,,,2026-09-21 13:37:36.968422+00:00,mqtt,,,,4189,0,,98,5110,34,,,,,7,,,0,False,True,,,6,,-236,-196,-940,,24.18,,975.4,10.4,132.5561,-0.001372,307148,32.0,780,122,0,63
